top - 13:59:56 up 51 days, 19:42,  0 users,  load average: 0.29, 0.11, 0.07
Tasks: 103 total,   1 running, 102 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.2 us,  3.2 sy,  0.0 ni, 93.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  2046508 total,   730528 free,   468708 used,   847272 buff/cache
KiB Swap:  1049596 total,   995848 free,    53748 used.  1380612 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 5384 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/0:2
 7007 root      20   0  156880   5520   4204 S   0.0  0.3   0:00.03 sshd
 7027 zhangyi+  20   0  157536   3132   1192 S   0.0  0.2   0:00.65 sshd
 7028 zhangyi+  20   0  115416   1684   1428 S   0.0  0.1   0:00.00 bash
 7045 zhangyi+  20   0  113552   2012   1432 S   0.0  0.1   0:00.02 bash
 7087 zhangyi+  20   0  113284   1408   1220 S   0.0  0.1   0:00.00 sh
 7099 zhangyi+  20   0  951208  68232  24300 S   0.0  3.3   0:05.16 node
 7175 zhangyi+  20   0  860340  36944  19544 S   0.0  1.8   0:02.34 node
 7190 zhangyi+  20   0  721100  42996  20228 S   0.0  2.1   0:02.00 node
 7255 zhangyi+  20   0  116964   3652   1816 S   0.0  0.2   0:00.09 bash
 7466 zhangyi+  20   0  116964   3624   1808 S   0.0  0.2   0:00.06 bash
 7546 zhangyi+  20   0   28208   3080      0 S   0.0  0.2   0:02.25 code-f1b07bd25d
 7716 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/0:0
 8433 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1
11246 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/u4:2
13819 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:2
15597 zhangyi+  20   0  199116   2188   1468 S   0.0  0.1   0:00.00 httpd
16546 root      20   0  113004   4460   3408 S   0.0  0.2   0:00.00 sshd
16547 sshd      20   0  113004   2236   1172 S   0.0  0.1   0:00.00 sshd
16553 zhangyi+  20   0  113284   1200   1016 S   0.0  0.1   0:00.00 bash
16554 zhangyi+  20   0  159876   2048   1500 R   0.0  0.1   0:00.00 top
17666 zhangyi+  20   0  844944  24788   5672 S   0.0  1.2   0:11.60 PM2 v5.3.0: God
27209 root      20   0       0      0      0 S   0.0  0.0   0:00.28 kworker/1:0
28615 root      20   0   29428   5892   3108 S   0.0  0.3   1:06.55 tat_agent
29008 root      20   0       0      0      0 S   0.0  0.0   0:02.98 kworker/u4:1
29419 zhangyi+  20   0  223616  20056   2900 S   0.0  1.0   0:00.33 python3
29426 zhangyi+  20   0  246516  35096   3568 S   0.0  1.7  29:26.47 python3
31261 root      20   0 1092040  11356   1032 S   0.0  0.6   5:01.17 sh
